dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
PubMed,feature_similar_cross_class,2,raw_grad,0.7415065767633913,negative,-0.3524805046419621,0.0
PubMed,feature_similar_cross_class,2,pos_grad,0.7563073217469504,negative,-0.3740822934302797,0.0
PubMed,feature_similar_cross_class,2,hybrid,0.9343577359214428,negative,-0.6339480936150975,0.0
PubMed,feature_similar_cross_class,3,raw_grad,0.6778571066239203,positive,0.25958366656409076,0.0
PubMed,feature_similar_cross_class,3,pos_grad,0.6802746472920181,positive,0.26311208374822487,0.0
PubMed,feature_similar_cross_class,3,hybrid,0.9117512303193877,negative,-0.6009537436944743,0.0
PubMed,feature_similar_cross_class,4,raw_grad,0.7450660798453513,negative,-0.35767562379605067,0.0
PubMed,feature_similar_cross_class,4,pos_grad,0.7639104579732049,negative,-0.3851791228835698,0.0
PubMed,feature_similar_cross_class,4,hybrid,0.9334384708166409,negative,-0.6326064198919863,0.0
PubMed,feature_similar_cross_class,5,raw_grad,0.7421057555785912,negative,-0.35335501023703136,0.0
PubMed,feature_similar_cross_class,5,pos_grad,0.7560613873707169,negative,-0.3737233505263367,0.0
PubMed,feature_similar_cross_class,5,hybrid,0.9399758145657684,negative,-0.6421477179150872,0.0
PubMed,feature_similar_cross_class,6,raw_grad,0.6986384266333185,positive,0.28991414558584977,0.0
PubMed,feature_similar_cross_class,6,pos_grad,0.7006576258196149,positive,0.2928611806481808,0.0
PubMed,feature_similar_cross_class,6,hybrid,0.9230132013400446,negative,-0.6173906676132993,0.0
PubMed,feature_similar_cross_class,7,raw_grad,0.7085251551323174,negative,-0.3043438936326028,0.0
PubMed,feature_similar_cross_class,7,pos_grad,0.7059652552698479,positive,0.30060770223900196,0.0
PubMed,feature_similar_cross_class,7,hybrid,0.914779316481017,negative,-0.6053732562084964,0.0
PubMed,feature_similar_cross_class,8,raw_grad,0.7433744254697019,negative,-0.35520664260631135,0.0
PubMed,feature_similar_cross_class,8,pos_grad,0.7656325243745664,negative,-0.3876924905731667,0.0
PubMed,feature_similar_cross_class,8,hybrid,0.9314603930717068,negative,-0.6297194018611846,0.0
PubMed,feature_similar_cross_class,9,raw_grad,0.712265334401984,positive,0.3098027109038847,0.0
PubMed,feature_similar_cross_class,9,pos_grad,0.7192694373058426,positive,0.3200252471210689,0.0
PubMed,feature_similar_cross_class,9,hybrid,0.9308447048529417,negative,-0.6288208006846231,0.0
PubMed,cross_class_oracle,0,raw_grad,0.8199684758493517,positive,0.46699618862835307,0.0
PubMed,cross_class_oracle,0,pos_grad,0.8339849658391719,positive,0.48745335247657284,0.0
PubMed,cross_class_oracle,0,hybrid,0.8785806983718387,negative,-0.5525411248936649,0.0
PubMed,cross_class_oracle,1,raw_grad,0.7886679932397951,positive,0.4213129192658684,0.0
PubMed,cross_class_oracle,1,pos_grad,0.8064208673852384,positive,0.4472233612130652,0.0
PubMed,cross_class_oracle,1,hybrid,0.8678213400897463,negative,-0.5368377677127818,0.0
PubMed,cross_class_oracle,2,raw_grad,0.8635235204124996,positive,0.5305650755352511,0.0
PubMed,cross_class_oracle,2,pos_grad,0.8727639838741511,positive,0.5440515957027454,0.0
PubMed,cross_class_oracle,2,hybrid,0.8807411316222954,negative,-0.5556942920350403,0.0
PubMed,cross_class_oracle,3,raw_grad,0.7864311671474473,positive,0.4180482558426426,0.0
PubMed,cross_class_oracle,3,pos_grad,0.8029674790344616,positive,0.44218311686161577,0.0
PubMed,cross_class_oracle,3,hybrid,0.8586654244901103,negative,-0.5234746461204455,0.0
PubMed,cross_class_oracle,4,raw_grad,0.8246081707421697,positive,0.47376785434599444,0.0
PubMed,cross_class_oracle,4,pos_grad,0.834540339867593,positive,0.4882639235909558,0.0
PubMed,cross_class_oracle,4,hybrid,0.8804027263888898,negative,-0.5552003872767155,0.0
PubMed,cross_class_oracle,5,raw_grad,0.8555686879943178,negative,-0.5189549439473139,0.0
PubMed,cross_class_oracle,5,pos_grad,0.8520222688723713,positive,0.5137789209757715,0.0
PubMed,cross_class_oracle,5,hybrid,0.8817311240452678,negative,-0.5571391927639414,0.0
PubMed,cross_class_oracle,6,raw_grad,0.8109391701661912,positive,0.45381785340124553,0.0
PubMed,cross_class_oracle,6,pos_grad,0.8252632807239726,positive,0.474723991327712,0.0
PubMed,cross_class_oracle,6,hybrid,0.862177658105342,negative,-0.5286007751624056,0.0
PubMed,cross_class_oracle,7,raw_grad,0.8109544435171891,positive,0.45384014487107566,0.0
PubMed,cross_class_oracle,7,pos_grad,0.8267442600348651,positive,0.4768854907652708,0.0
PubMed,cross_class_oracle,7,hybrid,0.8789987929407971,negative,-0.5531513367835941,0.0
PubMed,cross_class_oracle,8,raw_grad,0.8398690594117413,negative,-0.4960412265237306,0.0
PubMed,cross_class_oracle,8,pos_grad,0.8210087587295767,positive,0.468514488469578,0.0
PubMed,cross_class_oracle,8,hybrid,0.8750718598714844,negative,-0.5474199510451457,0.0
PubMed,cross_class_oracle,9,raw_grad,0.8207634362290568,positive,0.46815643803476226,0.0
PubMed,cross_class_oracle,9,pos_grad,0.8326708886195525,positive,0.4855354470269016,0.0
PubMed,cross_class_oracle,9,hybrid,0.8826836039270997,negative,-0.5585293436818549,0.0
PubMed,low_feature_similarity,0,raw_grad,0.8782679140818689,positive,0.5520922088551783,0.0
PubMed,low_feature_similarity,0,pos_grad,0.9050500523410998,positive,0.5911823996283764,0.0
PubMed,low_feature_similarity,0,hybrid,0.7528838794631534,negative,-0.36908575589576015,0.0
PubMed,low_feature_similarity,1,raw_grad,0.8367191421147716,positive,0.49145162705485246,0.0
PubMed,low_feature_similarity,1,pos_grad,0.864626840064883,positive,0.5321849811048621,0.0
PubMed,low_feature_similarity,1,hybrid,0.7428860500291505,negative,-0.35449385528995103,0.0
PubMed,low_feature_similarity,2,raw_grad,0.9357844105734784,negative,-0.6360397893574266,0.0
PubMed,low_feature_similarity,2,pos_grad,0.9618424756860062,negative,-0.6740729858037593,0.0
PubMed,low_feature_similarity,2,hybrid,0.7552026411217929,negative,-0.372470004434526,0.0
PubMed,low_feature_similarity,3,raw_grad,0.8361145921548774,positive,0.4905689298097082,0.0
PubMed,low_feature_similarity,3,pos_grad,0.8695440272745443,positive,0.5393616873744888,0.0
PubMed,low_feature_similarity,3,hybrid,0.7456274924614027,negative,-0.3584950093156509,0.0
PubMed,low_feature_similarity,4,raw_grad,0.8931230156860008,positive,0.5737755114231068,0.0
PubMed,low_feature_similarity,4,pos_grad,0.9061448352138153,positive,0.5927816893292195,0.0
PubMed,low_feature_similarity,4,hybrid,0.7566705795266653,negative,-0.3746124706009222,0.0
PubMed,low_feature_similarity,5,raw_grad,0.9033426119962207,positive,0.5886912001242585,0.0
PubMed,low_feature_similarity,5,pos_grad,0.9203820878401632,positive,0.6135615470316473,0.0
PubMed,low_feature_similarity,5,hybrid,0.7640319962141399,negative,-0.38535650872745764,0.0
PubMed,low_feature_similarity,6,raw_grad,0.8668877946329385,positive,0.535483244805236,0.0
PubMed,low_feature_similarity,6,pos_grad,0.8951715541536907,positive,0.5767652301504189,0.0
PubMed,low_feature_similarity,6,hybrid,0.7450708123911641,negative,-0.35768253093633356,0.0
PubMed,low_feature_similarity,7,raw_grad,0.8590309891579135,positive,0.5240151651556064,0.0
PubMed,low_feature_similarity,7,pos_grad,0.8891188556301934,positive,0.5679303520184971,0.0
PubMed,low_feature_similarity,7,hybrid,0.7441233411945485,negative,-0.3562996902289279,0.0
PubMed,low_feature_similarity,8,raw_grad,0.8663874219745422,positive,0.5347541009594612,0.0
PubMed,low_feature_similarity,8,pos_grad,0.8866236466191506,positive,0.5642903586840168,0.0
PubMed,low_feature_similarity,8,hybrid,0.7549235307807495,negative,-0.37206264097821007,0.0
PubMed,low_feature_similarity,9,raw_grad,0.8687582267909184,positive,0.5382133706758403,0.0
PubMed,low_feature_similarity,9,pos_grad,0.9048963434354872,positive,0.590959375322501,0.0
PubMed,low_feature_similarity,9,hybrid,0.7348052609274902,negative,-0.3426998881925994,0.0
