dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as0.5-lp0.1-ln0.5,faa_hybrid,GCN,0.675,0.6438165723850525,0.646,0.4897959183673469,0.4245104232469994,0.4548223350253807,0.19997084973036006,0.6230869889259338,0.6837310791015625,13722,10978,1.3533916473388672,0.1,0.5,0.3,0.5,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as0.5-lp0.25-ln0.25,faa_hybrid,GCN,0.674,0.6433184594825736,0.652,0.5138483965014577,0.44535691724573595,0.4771573604060914,0.19997084973036006,0.6230869889259338,0.6877390742301941,13722,10978,1.35292649269104,0.25,0.25,0.3,0.5,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,GCN,0.677,0.6668303378035505,0.654,0.46647230320699706,0.40429564118761846,0.4331641285956007,0.19997084973036006,0.6230869889259338,0.679358720779419,13722,10978,1.5619480609893799,0.1,0.5,0.3,1.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as1.0-lp0.25-ln0.25,faa_hybrid,GCN,0.678,0.6496014963908892,0.656,0.5094752186588921,0.441566645609602,0.4730964467005076,0.19997084973036006,0.6230869889259338,0.6873747110366821,13722,10978,1.3506584167480469,0.25,0.25,0.3,1.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as2.0-lp0.1-ln0.5,faa_hybrid,GCN,0.686,0.654362950491905,0.644,0.4395043731778426,0.3809222994314593,0.40812182741116754,0.19997084973036006,0.6230869889259338,0.6742575764656067,13722,10978,1.4244697093963623,0.1,0.5,0.3,2.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as2.0-lp0.25-ln0.25,faa_hybrid,GCN,0.679,0.6485825988080011,0.666,0.5145772594752187,0.4459886291850916,0.477834179357022,0.19997084973036006,0.6230869889259338,0.6875569224357605,13722,10978,1.3764660358428955,0.25,0.25,0.3,2.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as3.0-lp0.1-ln0.5,faa_hybrid,GCN,0.671,0.6579822319983262,0.652,0.42857142857142855,0.37144662034112447,0.39796954314720817,0.19997084973036006,0.6230869889259338,0.671707034111023,13722,10978,1.7587547302246094,0.1,0.5,0.3,3.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,FAA-Hybrid-as3.0-lp0.25-ln0.25,faa_hybrid,GCN,0.689,0.6635739198916237,0.688,0.5255102040816326,0.4554643082754264,0.48798646362098136,0.19997084973036006,0.6230869889259338,0.6890143752098083,13722,10978,1.3607091903686523,0.25,0.25,0.3,3.0,0.0,0.0,,,
Cora,cross_class_oracle,0.3,0,MCGC-cw0.5-lp0.1-ln0.5,mcgc,GCN,0.652,0.6366270348395668,0.664,0.41690962099125367,0.361339229311434,0.3871404399323181,0.19997084973036006,0.6230869889259338,0.6666059494018555,13722,10978,2.4076638221740723,0.1,0.5,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,cross_class_oracle,0.3,0,MCGC-cw0.5-lp0.25-ln0.25,mcgc,GCN,0.675,0.6634961111014422,0.668,0.5072886297376094,0.4396715097915351,0.4710659898477157,0.19997084973036006,0.6230869889259338,0.6831845641136169,13722,10978,2.349060297012329,0.25,0.25,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,cross_class_oracle,0.3,0,MCGC-cw1.0-lp0.1-ln0.5,mcgc,GCN,0.653,0.6386400047203866,0.678,0.35714285714285715,0.30953885028427036,0.3316412859560067,0.19997084973036006,0.6230869889259338,0.6562215089797974,13722,10978,2.5231266021728516,0.1,0.5,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,cross_class_oracle,0.3,0,MCGC-cw1.0-lp0.25-ln0.25,mcgc,GCN,0.668,0.6556574231273589,0.664,0.5043731778425656,0.43714466203411245,0.4683587140439932,0.19997084973036006,0.6230869889259338,0.6819092631340027,13722,10978,4.857742547988892,0.25,0.25,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
